departamento,habilitados,municipio,votantes,votos_no_marcados,votos_nulos,votacion
Cundinamarca,8613,Guacheta,3992,125,493,camara
Boyaca,3092,Floresta,2004,42,100,camara
Caldas,28023,Anserma,14019,683,1356,camara
Consulados,3756,Finlandia,63,1,0,camara
Cauca,8858,Purace (coconuco),4030,344,309,camara
Meta,17852,San Martin De Los Llanos,9429,381,933,camara
Santander,112516,Giron,59917,1593,6251,camara
Atlantico,14033,Manati,8922,181,440,camara
Cesar,14386,Astrea,7711,288,580,camara
Santander,3302,Paramo,2053,83,113,camara
Choco,5321,Novita,3125,47,243,camara
Guaviare,5561,Calamar,2600,72,179,camara
Boyaca,1955,Beteitiva,954,23,38,camara
Casanare,11316,Monterrey,6333,138,505,camara
Santander,6602,Aratoca,3485,216,346,camara
La Guajira,24428,Barrancas,14394,369,986,camara
Bolivar,39048,Maria La Baja,19359,751,1939,camara
Antioquia,14572,Tamesis,6429,222,438,camara
Cundinamarca,12625,La Vega,6769,173,583,camara
Cauca,17322,Toribio,8853,780,553,camara
Antioquia,12366,San Rafael,4915,218,447,camara
Santander,105133,Piedecuesta,59901,1535,5877,camara
Cundinamarca,3478,Cabrera,1271,87,88,camara
Boyaca,4008,Mongua,2297,42,143,camara
Nariño,5798,Arboleda (berruecos),3824,120,218,camara
Norte De San,11540,El Tarra,3975,307,433,camara
Cundinamarca,5521,Quetame,3181,63,214,camara
Cordoba,73229,Cerete,44911,3615,3091,camara
Nariño,10321,Cordoba,4997,163,307,camara
Bolivar,7650,El Guamo,4718,164,361,camara
Antioquia,7679,Maceo,3177,133,200,camara
Cundinamarca,9516,Gachancipa,5389,155,1121,camara
Choco,8608,Acandi,3710,224,306,camara
Boyaca,2540,La Capilla,1259,40,122,camara
Antioquia,20291,Antioquia,7324,387,666,camara
Meta,23974,Puerto Lopez,12323,549,1296,camara
Cundinamarca,8551,San Francisco,4310,69,307,camara
Boyaca,3888,Zetaquira,2017,49,138,camara
Bolivar,12114,Simiti,5949,359,640,camara
Huila,12715,Guadalupe,6064,267,512,camara
La Guajira,8961,Distraccion,5096,106,300,camara
Vaupes,1139,Buenos Aires (pacoa),565,15,16,camara
Amazonas,999,La Chorrera,598,13,49,camara
Tolima,7592,Palocabildo,3295,148,218,camara
Consulados,3668,India,10,0,1,camara
Nariño,5395,Belen,3371,101,205,camara
Bolivar,6174,El Peñon,3624,60,230,camara
Cundinamarca,22376,Guaduas,10744,395,1011,camara
Cundinamarca,8727,San Antonio Del Tequendama,3778,118,342,camara
Sucre,16454,Galeras (nueva Granada),10252,550,446,camara
Boyaca,10819,Villa De Leiva,5721,170,543,camara
Boyaca,2623,Sora,1549,19,123,camara
Meta,8194,San Carlos De Guaroa,4378,216,372,camara
Boyaca,5131,Boavita,2267,82,130,camara
Valle,6756,El Cairo,2649,102,189,camara
Nariño,6065,Mallama (piedrancha),3005,82,197,camara
Caqueta,5708,Solita,1879,81,153,camara
Norte De San,12165,Toledo,6437,277,509,camara
Valle,11516,Alcala,5466,240,427,camara
Boyaca,8614,Tibasosa,4440,123,443,camara
Magdalena,10968,Sabanas De San Angel,7220,137,558,camara
Antioquia,4150,Giraldo,2325,91,129,camara
Magdalena,6992,Remolino,4851,140,426,camara
Santander,2166,Encino,1029,54,58,camara
